"","Meta.Data.datapoints","Meta.Data.interval","Meta.Data.ticker","Meta.Data.credit.cost","Meta.Data.Time.Zone","Meta.Data.last.refreshed","Crypto.Historical.Price.date","Crypto.Historical.Price.open","Crypto.Historical.Price.high","Crypto.Historical.Price.low","Crypto.Historical.Price.close","Crypto.Historical.Price.adj_close","Crypto.Historical.Price.volume"
"217",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-04",7369.89,7401.43,6694.06,6705.03,6705.03,797851163
"218",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-03",7270.05,7417.65,7246.76,7369.86,7369.86,343762001
"219",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-02",7301.25,7350.58,7204.89,7270.05,7270.05,309327793
"220",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-09-01",7203.46,7384.38,7144.71,7301.26,7301.26,447453370
"221",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-31",7026.96,7272.03,7025.58,7203.46,7203.46,300301833
"222",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-30",6998.76,7096.73,6903.08,7026.96,7026.96,349131152
"223",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-29",7051.61,7072.64,6818.69,6998.76,6998.76,425475685
"224",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-28",7091.38,7137.47,6944.76,7052,7052,356139022
"225",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-27",6915.92,7136.71,6877.2,7091.38,7091.38,487789642
"226",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-26",6720.6,6944.21,6674.84,6915.73,6915.73,405769271
"227",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-25",6749.71,6793.17,6588.48,6720.6,6720.6,265820591
"228",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-24",6708.94,6808.89,6684.19,6749.56,6749.56,258296664
"229",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-23",6539.13,6736.83,6481.76,6708.96,6708.96,382456858
"230",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-22",6366.14,6575.28,6356.96,6538.95,6538.95,340811486
"231",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-21",6491.09,6890.79,6264.34,6366.13,6366.13,764005011
"232",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-20",6270.09,6506.69,6259.81,6491.11,6491.11,396746063
"233",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-19",6502.24,6537.54,6248.39,6269.9,6269.9,397981291
"234",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-18",6405.74,6560.88,6330.56,6502.18,6502.18,253984821
"235",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-17",6591.18,6622.16,6322.44,6405.71,6405.71,336744293
"236",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-16",6323.81,6594.72,6300.45,6591.16,6591.16,477089455
"237",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-15",6274.22,6478.07,6217.33,6323.81,6323.81,454679037
"238",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-14",6199.63,6620.07,6193.63,6274.22,6274.22,852103141
"239",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-13",6263.2,6266.5,5891.87,6199.6,6199.6,759847789
"240",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-12",6322.41,6545.02,6157.03,6263.2,6263.2,452431672
"241",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-11",6242.53,6483.39,6176.89,6322.92,6322.92,366460108
"242",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-10",6152.95,6488.55,6014.26,6242.54,6242.54,545722619
"243",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-09",6543.25,6582.14,6025.91,6153.41,6153.41,639457019
"244",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-08",6285.06,6631.23,6195.02,6543.24,6543.24,575748446
"245",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-07",6723.29,6723.99,6133.03,6285.02,6285.02,838853615
"246",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-06",6945.77,7150.86,6685.02,6723.21,6723.21,575690006
"247",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-05",7042.57,7160.4,6854.79,6945.78,6945.78,410408444
"248",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-04",7017.89,7092.53,6898.31,7042.39,7042.39,368914046
"249",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-03",7417.6,7490.89,6940.15,7017.89,7017.89,534002935
"250",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-02",7542.34,7542.49,7296.76,7417.6,7417.6,586982505
"251",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-08-01",7610.9,7713.32,7470.86,7542.34,7542.34,424093581
"252",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-07-31",7736.25,7760.74,7449.31,7610.9,7610.9,595404848
"253",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-07-30",8176.08,8176.27,7663.7,7735.3,7735.3,765186307
"254",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-07-29",8216.7,8273.61,7867.44,8176.06,8176.06,681120739
"255",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-07-28",8230.82,8291.55,8123.53,8216.78,8216.78,280233415
"256",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2018-07-27",8182.88,8238.04,8070.04,8230.87,8230.87,295872316
